external_id,name,department_code,type,ownership,lat,lon,address,district,police_station,ward,rtsp_url,codec,resolution,fps,storage_location,retention_days,install_date,vendor,model,heading_deg,fov_deg,connectivity_type,bandwidth_kbps,vms_platform,nvr_id,maintenance_status,amc_vendor,amc_expiry,anpr_enabled,record_enabled
CSV-001,Bhilad Checkpost North Lane,POLICE,analog,govt_dept,20.2650,72.9120,"NH-48, Bhilad",Valsad,Bhilad,,,H264,704x576,12,DVR at checkpost,15,2017-05-10,CP Plus,CP-USC-TA24L2,20,70,4g,2000,none,DVR-VLS-07,ok,Secure Vision AMC,2026-09-25,false,false
CSV-002,Dahod PDS Godown Gate,FCS,bullet,govt_dept,22.8400,74.2600,"FCS godown, Station Road",Dahod,Dahod Town,,,H264,1280x720,15,NVR at godown,30,2021-11-02,Hikvision,DS-2CD2043G2,90,90,lan,4096,Hikvision NVR,NVR-DHD-02,ok,,,false,false
CSV-003,RTO Ahmedabad Testing Track,RTO,ptz,govt_dept,23.0810,72.6580,"RTO Subhash Bridge",Ahmedabad,Sabarmati,,,H265,1920x1080,25,VMS on-prem,30,2023-01-15,Dahua,SD49225,,,fibre,8192,Milestone XProtect,,ok,Dahua AMC,2027-01-14,false,false
CSV-004,Jamnagar Rozi Port Road,POLICE,ip,govt_dept,95.0,70.0400,"Rozi port road",Jamnagar,Bedi,,,H264,1280x720,15,NVR at PS,15,2020-08-20,CP Plus,CP-UNC-TA21L3,,,4g,2000,none,NVR-JAM-11,ok,,,false,false
CSV-005,Prabhas Patan Market Square,MUNICIPAL,dome,public_facing,20.8890,70.4050,"Prabhas Patan market",Gir Somnath,Somnath,Ward 3,,H264,1280x720,15,NVR at nagarpalika,7,2022-02-14,Hikvision,DS-2CD2143G2,,,4g,2000,none,NVR-GSM-01,ok,,,false,false
CSV-006,Okha Checkpost,POLICE,analog,govt_dept,22.4680,69.0700,"Okha road checkpost",Devbhumi Dwarka,Okha,,,H264,704x576,12,DVR at checkpost,15,2016-03-01,Zicom,ZC-AN-720,45,60,4g,1500,none,DVR-DWK-03,faulty,Coastal AMC Services,2025-12-31,false,false
CSV-007,Valsad Green Park Society Gate,HOUSING_SOCIETY,ip,private,20.6050,72.9280,"Green Park Society, Halar Road",Valsad,Valsad City,,,H264,1920x1080,25,Society NVR,7,2024-06-01,TP-Link,VIGI C340,180,90,wifi,4096,none,,ok,,,false,false
CSV-008,Zalod Taluka Panchayat Office,PANCHAYAT,bullet,govt_dept,23.1020,74.1700,"Taluka Panchayat office",Dahod,Zalod,,,H264,1280x720,15,NVR at office,15,2019-12-05,CP Plus,CP-UNC-TA21L3,,,4g,2000,none,NVR-ZLD-01,under_maintenance,,,false,false
CSV-002,,FCS,bullet,govt_dept,22.8410,74.2610,"FCS godown, Station Road",Dahod,Dahod Town,,,H264,1280x720,15,NVR at godown,30,2021-11-02,Hikvision,DS-2CD2043G2,90,90,lan,4096,Hikvision NVR,NVR-DHD-02,ok,,,false,false
CSV-010,Vapi RTO Checkpost Lane 2,RTO,anpr,govt_dept,20.3800,72.9200,"NH-48 Vapi RTO checkpost",Valsad,Vapi Town,,,H264,1920x1080,25,NVR at checkpost,30,2023-09-30,Dahua,ITC215-PW6M-IRLZF,10,40,lan,8192,none,NVR-VPI-04,ok,Dahua AMC,2026-09-30,false,false
