external_id,name,lat,lon,district,city,police_station,department_code,camera_type_guess,location_confidence,location_source,notes
cam01,"01 Chiman bhai Bridge",23.07112,72.58722,Ahmedabad,Ahmedabad,Sabarmati,POLICE,bullet,exact,osm-overpass,"OSM way 37722606 'Chimanbhai patel Flyover' (bridge=yes, alt_name SH41). It is the Chimanbhai Patel flyover/ROB in Sabarmati linking RTO Circle (Ranip) to Sabarmati D-Cabin over the railway lines, on the Ahmedabad-Gandhinagar corridor (not a river bridge). POLICE: traffic corridor camera."
cam02,"02 Janpath",23.08826,72.59155,Ahmedabad,Ahmedabad (Motera/Sabarmati),Sabarmati,POLICE,ptz,approx,tripadvisor-listing,"Janpath T-junction on Motera Road/SH41 (Ahmedabad Traffic Police Coldplay diversion notice lists it between Visat T and Power House crossroads, leading to the stadium main gate). Point = Janpath Hotel Restaurant listing coords; junction node not named in OSM. POLICE: traffic junction."
cam03,"03 O.N.G.C. Office",23.10364,72.58677,Ahmedabad,Ahmedabad (Chandkheda),Chandkheda,POLICE,bullet,approx,osm-nominatim,"OSM bus stop 'ONGC Bus Depo' on SH41 at the ONGC Chandkheda complex; ONGC crossroads is a traffic-police junction on the Ahmedabad-Gandhinagar road. POLICE: junction camera (could be ONGC's own gate camera)."
cam04,"04 Paldi Circle",23.01403,72.56470,Ahmedabad,Ahmedabad (Paldi),Paldi,POLICE,ptz,approx,osm-overpass,"Paldi Char Rasta near Paldi bus stand / Paldi Municipal Garden (OSM suburb node 23.0146,72.5635; bus stand 23.0140,72.5646). Junction node itself is unnamed in OSM. POLICE: city circle."
cam05,"05 Visat teen Rasta",23.09850,72.58870,Ahmedabad,Ahmedabad (Sabarmati),Sabarmati,POLICE,ptz,approx,mappls-listing,"Visat Circle / Visat T-junction on the Ahmedabad-Gandhinagar road (SH41), Sabarmati 380005. Derived from mappls listings 'near Visat Circle' (23.0968-23.1005, 72.588-72.589); junction not named in OSM. POLICE: traffic junction."
cam06,"06 Timbavadi gate-Junagadh",21.50528,70.43854,Junagadh,Junagadh,Junagadh B-Division,POLICE,anpr,approx,osm-nominatim,"OSM artwork tagged 'Junagadh' on SH31 (Junagadh-Veraval road) in Timbavadi neighbourhood (21.5033,70.4335) - presumed city welcome gate. POLICE: city entry point, likely ANPR. PS = nearest mapped station."
cam07,"07 hero-showroom-gir-somnath",20.91011,70.36528,Gir Somnath,Veraval,Veraval City,POLICE,bullet,guess,district-hq-fallback,"Only Hero MotoCorp dealer listed for Gir Somnath is Jagdish Automobiles, Teacher's Colony, Shakti Nagar, Veraval; showroom itself not geocodable. Veraval (district HQ) town centre used. POLICE: roadside camera named after a landmark; could be private."
cam08,"08 majewadi-gate-junagadh",21.53600,70.46300,Junagadh,Junagadh,Junagadh B-Division,POLICE,anpr,approx,derived,"Majevadi Gate (Majevadi Darwaja), historic city gate nr Faruki Masjid, Majevadi Darvaja Rd, Mullawada, Junagadh 362001; 0.93 km NE of Junagadh Junction (21.5294,70.4578), Sakkarbaug zoo parking 'outside Majevadi Gate' at 21.5420,70.4643. Point estimated between these. POLICE: city entry gate."
cam09,"09 new-bypass-near-by-circle-junagadh-2",21.57315,70.46996,Junagadh,Junagadh,,POLICE,ptz,approx,osm-overpass,"OSM roundabout way 897974280 on the primary road near Dolatpara where the Junagadh-Rajkot road meets the Junagadh bypass (NH-151 bypass runs 21.55-21.60N). Exact circle uncertain; '-2' = second camera at the circle. POLICE: bypass circle."
cam10,"10 char-chowk-road-2-junagadh",21.30140,70.24980,Junagadh,Keshod,Keshod,POLICE,bullet,approx,mappls-listing,"Char Chowk, Junagadh Highway, Keshod 362220 (mappls: traffic police chowki at Char Chowk 21.30136,70.24978). No 'Char Chowk' found inside Junagadh city, so 'junagadh' read as the district. POLICE: highway junction."
cam11,"11 dolatpara-junagadh",21.55876,70.46592,Junagadh,Junagadh,,POLICE,bullet,approx,osm-nominatim,"OSM suburb node Dolatpara (GIDC area on the Rajkot road, Junagadh 362037). Specific pole unknown. POLICE: arterial road camera."
cam12,"12 Tri Mandir Adalaj Tollnaka",23.18653,72.56032,Gandhinagar,Adalaj,Adalaj,RTO,anpr,exact,osm-overpass,"OSM toll_booth nodes 778708294/780268564 on the Ahmedabad-Mehsana highway (SH41) about 1.2 km NW of Dada Bhagwan Trimandir Adalaj (23.1785,72.5721). RTO per team rule for tollnaka/checkposts (toll plaza is actually operated by the highway concessionaire)."
cam13,"13 CN Vidhyalaya",23.01898,72.55169,Ahmedabad,Ahmedabad (Ambawadi),Ellisbridge,EDUCATION,dome,exact,osm-nominatim,"Sheth C.N. Vidyalaya campus (OSM 'Sheth C.N. Kishor Vidyalaya' / 'Sheth C.N. Bal Vidyalaya'), Bhudarpura Road, Ambawadi 380006. EDUCATION: school campus camera."
cam14,"14 Delight RLVD",23.03778,72.58795,Ahmedabad,Ahmedabad (Dariyapur),Dariyapur,POLICE,rlvd,guess,osm-nominatim,"No place literally named 'Delight' found in Gujarat. Interpreted as 'Delhi Gate' (Delhi Darwaja) signalised junction, Kasturba Gandhi Rd, Dariyapur, Ahmedabad (OSM). Alternative: Delhi Gate junction, Surat. Team should confirm. POLICE: red-light violation detection camera."
cam15,"15 Suvidha park",23.01468,72.55917,Ahmedabad,Ahmedabad (Paldi),Paldi,POLICE,ptz,guess,osm-overpass,"Placed at OSM 'Suvidha Crossroads' junction beside Suvidha Shopping Centre, Paldi (fits the Paldi/Ambawadi cluster). Alternatives: housing societies named 'Suvidha Park' in Nikol, Krishnanagar, Maninagar and Naroda (east Ahmedabad). If it is a park/society camera the department would be MUNICIPAL. Team should confirm."
cam16,"16 Visat P2",23.09890,72.58910,Ahmedabad,Ahmedabad (Sabarmati),Sabarmati,POLICE,bullet,approx,mappls-listing,"Second pole (P2) at the Visat junction; same location as cam05 offset ~50 m so both render on the map. POLICE: traffic junction."
cam17,"17 Rajkot Bus Port CCTV",22.29105,70.80218,Rajkot,Rajkot,Pradhyuman Nagar,GSRTC,dome,exact,osm-overpass,"OSM 'GSRTC Central Bus Station' (bus_station) on Dhebar Road = the PPP-built Rajkot Bus Port that replaced the old central bus station. GSRTC: bus port. PS = nearest mapped station."
cam18,"18 Rajkot CCTV",22.30533,70.80284,Rajkot,Rajkot,,POLICE,ptz,guess,osm-nominatim,"Name gives only the city; OSM Rajkot city node used. POLICE: city surveillance (Rajkot City Police)."
cam19,"19 KHAPARIA GRAM PANCHAYAT , TALUKA GANDEVI, DISTRICT NAVSARI",20.86340,73.04896,Navsari,Khaparia (Gandevi taluka),Gandevi,PANCHAYAT,bullet,approx,osm-nominatim,"OSM village node Khapariya, Gandevi taluka, Navsari 396375; panchayat office not mapped so village centre used. PANCHAYAT: name says gram panchayat."
